Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Target
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.5197135440647902,0.9835618345823353,1.247334733762358,-0.0002759746211013263,-1.3242588251442713,-1.2633523773438045,-0.4030224142720608,120000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2256933981095624,-0.34393330983544934,-0.6900162311764731,-0.19207055797138212,-0.5547177423199448,-0.43257082374603356,-0.4030224142720608,550000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5363765878720241,1.6473094067912277,0.08492415479905924,-0.6475826934282982,-0.5547177423199448,-0.4791132077010907,-0.4030224142720608,215000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.5197135440647902,0.9835618345823353,-0.3606665671368719,0.2922107649880772,-0.936609701128027,-0.7793115842112097,-0.4030224142720608,226000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.6662108946049591,-0.01205952373100319,-0.49628113468259005,0.7357357389856006,0.02291783356564712,-0.046501748838834095,-0.4030224142720608,570000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.040794404314703,0.6516880484778892,-0.3994135864356485,-0.19207055797138212,-0.936609701128027,-0.7793115842112097,-0.4030224142720608,350000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.508844244341062,0.6516880484778892,-0.30254603818870696,0.15795455664288022,-0.5547177423199448,-0.504711518876372,-0.4030224142720608,315000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.040794404314703,-1.0076808820443417,-0.7382175231841512,0.19391604102105833,-0.936609701128027,-0.7807078557298611,-0.4030224142720608,410000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9306650301908538,-1.3395546681487878,-0.6900162311764731,-0.37187797986227017,-0.936609701128027,0.4133370046371307,-0.4030224142720608,1050000.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7104062819431555,-0.6758070959398955,-0.528809257383913,-0.7434799851034382,-0.5547177423199448,-0.36275724781344776,-0.4030224142720608,511000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9581973737218161,0.6516880484778892,0.18717753872853074,0.627851285851068,0.18411845939418436,0.5988084046980335,-0.4030224142720608,425000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8314049557907328,-0.34393330983544934,-0.10881094169482386,-0.014660568372372066,-0.048087204001684765,0.18295220405959783,-0.4030224142720608,750000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9140019863836197,-0.6758070959398955,-0.9612453662679095,-1.2685176570248318,0.9824453682593213,2.0593084132077286,-0.4030224142720608,3250000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0516637040384311,-0.34393330983544934,0.3949003091892722,2.011169718264967,-0.45684593378118993,-0.28130807589209766,-0.4030224142720608,650000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7104062819431555,-0.34393330983544934,-0.6900162311764731,1.3183117859120779,-0.45684593378118993,-0.6187403595662623,-0.4030224142720608,627000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.2719224522861294,0.31981426237344296,0.18179170304600079,-0.10336556317187709,1.2607083533204868,1.6152940702764826,-0.4030224142720608,1425000.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7104062819431555,0.31981426237344296,0.12754587602771353,2.0854901193132003,-0.45684593378118993,-0.6187403595662623,-0.4030224142720608,425000.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.060499336923788664,0.6516880484778892,1.0535996372684748,-1.6089530424715799,1.934296682675446,0.0002733470359981641,3.3116776014855547,605000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.3545194828790164,-0.01205952373100319,-0.6900162311764731,0.40728751499824484,-0.5547177423199448,-0.40697251257075223,-0.4030224142720608,600000.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7379386254741178,-0.34393330983544934,-0.30254603818870696,0.2754287389449276,-0.5547177423199448,-0.40604166489165094,-0.4030224142720608,575000.0
